Date,gross_return,tcost,net_return,turnover
2020-01-31,-0.004024147414411263,0.0009999999999999998,-0.005024147414411263,1.9999999999999998
2020-02-28,-0.03627858682074052,0.0013399999999999998,-0.03761858682074052,2.6799999999999997
2020-03-31,0.07306383654400248,0.00158,0.07148383654400248,3.16
2020-04-30,-0.037348757359590284,0.00146,-0.03880875735959029,2.92
2020-05-29,0.03072025020587538,0.0015,0.02922025020587538,3.0
2020-06-30,-0.019535031690549175,0.0015199999999999999,-0.021055031690549175,3.04
2020-07-31,0.021081310069646857,0.00138,0.019701310069646857,2.76
2020-08-31,-0.027411240780452113,0.0012800000000000003,-0.028691240780452112,2.5600000000000005
2020-09-30,0.004959711222665432,0.0014199999999999998,0.0035397112226654326,2.84
2020-10-30,0.04932823215033516,0.0015400000000000001,0.04778823215033516,3.08
2020-11-30,-0.019327556957755506,0.0015600000000000002,-0.020887556957755505,3.12
2020-12-31,-0.006052914769025312,0.0016200000000000003,-0.007672914769025312,3.24
2021-01-29,0.013876523105983666,0.0014399999999999999,0.012436523105983666,2.88
2021-02-26,-0.05183870005086235,0.00158,-0.05341870005086235,3.16
2021-03-31,0.02447798977838687,0.0016400000000000002,0.022837989778386872,3.2800000000000002
2021-04-30,0.014806931680461394,0.0015199999999999999,0.013286931680461394,3.04
2021-05-28,0.016506719201860295,0.0014199999999999998,0.015086719201860296,2.84
2021-06-30,-0.03964978724146127,0.0015400000000000001,-0.04118978724146127,3.08
2021-07-30,-0.014302811926403406,0.0014000000000000002,-0.015702811926403406,2.8000000000000003
2021-08-31,0.008483491870370934,0.0015400000000000001,0.006943491870370935,3.08
2021-09-30,-0.014697831396333943,0.0014399999999999999,-0.016137831396333943,2.88
2021-10-29,-0.016957224457900818,0.00146,-0.018417224457900817,2.92
2021-11-30,-0.01713192997416937,0.0015600000000000002,-0.01869192997416937,3.12
2021-12-31,-0.001068847698402247,0.00146,-0.002528847698402247,2.92
2022-01-31,-0.00032454451267757386,0.00146,-0.001784544512677574,2.92
2022-02-28,0.0006705792798339003,0.0015199999999999999,-0.0008494207201660995,3.04
2022-03-31,-0.004733169759777851,0.0015400000000000001,-0.00627316975977785,3.08
2022-04-29,-0.01625373545532328,0.0015,-0.017753735455323282,3.0
2022-05-31,0.014289919105558036,0.0016400000000000002,0.012649919105558035,3.2800000000000002
2022-06-30,0.06906862077047657,0.0014399999999999999,0.06762862077047657,2.88
2022-07-29,0.026801090240620933,0.00146,0.025341090240620933,2.92
2022-08-31,-0.0247292905798258,0.00148,-0.026209290579825798,2.96
2022-09-30,-0.03427109032144454,0.00146,-0.035731090321444545,2.92
2022-10-31,-0.02185999918445263,0.0014,-0.023259999184452627,2.8
2022-11-30,-0.021186330276957533,0.0015199999999999999,-0.022706330276957534,3.04
2022-12-30,-0.020291394550144184,0.0015400000000000001,-0.021831394550144184,3.08
2023-01-31,0.005008192992009216,0.0014399999999999999,0.003568192992009216,2.88
2023-02-28,0.0024598913617397394,0.0014,0.0010598913617397394,2.8
2023-03-31,-0.02489138088893432,0.0014800000000000002,-0.02637138088893432,2.9600000000000004
2023-04-28,0.12027866335412649,0.00148,0.11879866335412649,2.96
2023-05-31,0.03847275880958919,0.0016200000000000003,0.03685275880958919,3.24
2023-06-30,0.041015402555794216,0.0016599999999999998,0.039355402555794214,3.32
2023-07-31,0.010443363716651966,0.00158,0.008863363716651966,3.16
2023-08-31,0.004527144232710315,0.0016599999999999998,0.002867144232710315,3.32
2023-09-29,-0.01632699518149444,0.0015999999999999999,-0.017926995181494442,3.1999999999999997
2023-10-31,0.05822983202147675,0.00158,0.056649832021476755,3.16
2023-11-30,0.013909480265362118,0.00146,0.012449480265362118,2.92
2023-12-29,0.022660784632757572,0.0015400000000000001,0.021120784632757572,3.08
2024-01-31,0.06885983255499191,0.0014399999999999999,0.06741983255499191,2.88
2024-02-29,-0.0034794754215529697,0.0016,-0.00507947542155297,3.2
2024-03-28,-0.006488012080480093,0.00146,-0.007948012080480092,2.92
2024-04-30,0.029824639080918244,0.0015199999999999999,0.028304639080918244,3.04
2024-05-31,-0.0327767214798078,0.0015,-0.0342767214798078,3.0
2024-06-28,-0.04195092338111338,0.00138,-0.04333092338111338,2.76
2024-07-31,0.03050128119515093,0.0015,0.029001281195150927,3.0
2024-08-30,-0.018182735935479522,0.0015400000000000001,-0.019722735935479522,3.08
2024-09-30,0.025027440194451352,0.00148,0.023547440194451354,2.96
2024-10-31,0.05728734539056343,0.00146,0.05582734539056343,2.92
2024-11-29,-0.03867222110417497,0.0015600000000000002,-0.040232221104174966,3.12
