,"Spec L-S (100/100, net 0)",Long-only (100/0),130/30 (net +100),"150/50 (net +100, gross 200)"
Strategy Annual Return,0.05871481375177473,0.28456401369539863,0.30217845782093106,0.3139214205712859
Strategy Annual Vol,0.10507875732336713,0.26546060941188987,0.2861849447543644,0.30104424165107685
Strategy Sharpe,0.5587695862360363,1.0719632352454513,1.0558852356132642,1.0427750381458356
SPY Annual Return,0.17861978407625517,0.17861978407625517,0.17861978407625517,0.17861978407625517
SPY Annual Vol,0.18691617046118886,0.18691617046118886,0.18691617046118886,0.18691617046118886
SPY Sharpe,0.9556143999501833,0.9556143999501833,0.9556143999501833,0.9556143999501833
Excess Return (annual),-0.11990497032448044,0.1059442296191434,0.12355867374467591,0.13530163649503074
Tracking Error,0.2445067742078688,0.3625127839503872,0.38339185537266995,0.3980904421308295
Information Ratio,-0.4903952895085948,0.2922496372807717,0.32227777406636,0.339876626454058
CAPM Alpha (annual),0.09400241798260442,0.35104869607649425,0.3792494214712756,0.39804990506779636
Beta to SPY,-0.19755708704565977,-0.3722134293517698,-0.43148055546546776,-0.47099197287459965
Alpha t-stat,1.6797344464421533,2.408869691975843,2.427955999920766,2.4305999704155727
Max Drawdown,-0.17736480845122837,-0.2153557986803153,-0.2322559933075382,-0.2436045813629466
Hit Rate vs SPY,0.43902439024390244,0.5121951219512195,0.4878048780487805,0.4878048780487805
Average Turnover,2.9864406779661015,1.4013559322033897,2.2972881355932206,2.894576271186441
